player_name,gsis_id,season,week,nfl_team,status,detail,source
Jordan Love,00-0036264,2021,15,GB,active,"Packers inactives: St. Brown, Dafney, Bakhtiari, Turner",https://www.acmepackingcompany.com/2021/12/19/22845354/green-bay-packers-baltimore-ravens-week-15-inactives-update-lamar-jackson-marquez-valdes-scantling
Brevin Jordan,00-0036556,2021,15,HOU,active,"Texans inactives: J. Reid, Watson, Moreland, Quessenberry",https://www.profootballnetwork.com/nfl-inactives-2021-nflwk-15/
Gardner Minshew,00-0035289,2021,15,PHI,active,"Eagles inactives: Gowan, Sinnett, Tuipulotu, Vincent; Hurts started",https://www.philadelphiaeagles.com/news/washington-vs-eagles-inactives-week-15-2021
Trey Lance,00-0037012,2021,15,SF,active,"49ers inactives: Al-Shaair, Hurst, E. Mitchell, Greenlaw, McKivitz",https://www.49erswebzone.com/news/153797-49ers-inactives-azeez-al-shaair-officially-out-falcons/
Jordan Love,00-0036264,2021,16,GB,active,"Packers inactives: Bakhtiari, Turner, Keke",https://www.acmepackingcompany.com/2021/12/25/22853727/green-bay-packers-cleveland-browns-inactives-kenny-clark-david-bakhtiari-baker-mayfield-billy-turner
Trey Lance,00-0037012,2021,16,SF,active,"49ers inactives: E. Mitchell, Greenlaw, Hufanga, McKivitz, Hurst",https://www.nfl.com/news/week-16-thursday-night-inactives-san-francisco-49ers-at-tennessee-titans
Desmond Ridder,00-0038122,2022,1,ATL,active,"Falcons inactives: Byrd, Allgeier, Malone, Kwiatkoski, Edoga",https://www.atlantafalcons.com/news/falcons-inactives-drake-london-tyler-allgeier-deangelo-malone-week-1-saints
Terrace Marshall,00-0036955,2022,1,CAR,active,"Panthers inactives: Shenault, Barno, Mays, McCall, Sullivan, Mosby",https://www.panthers.com/news/week-1-inactives-laviska-shenault-wont-play-against-cleveland
Kenny Pickett,00-0038102,2022,1,PIT,active,"Steelers inactives: Rudolph, K. Green, Sims, Loudermilk, M. Robinson; Pickett QB2",https://www.steelers.com/news/steelers-inactives-for-week-1-at-bengals
Malik Willis,00-0038128,2022,1,TEN,active,"Titans inactives: L. Johnson, J. Jones, N. Jones, Chestnut, Tuszka",https://www.tennesseetitans.com/news/game-inactives-week-1-titans-vs-giants
Desmond Ridder,00-0038122,2022,2,ATL,active,"Falcons inactives: Byrd, Franks, Kwiatkoski, Bell, Edoga, Dickerson",https://www.thefalcoholic.com/2022/9/18/23359700/falcons-vs-rams-inactives-for-week-2-nfl-2022-brian-allen-van-jefferson-feleipe-franks-damiere-byrd
Jordan Love,00-0036264,2022,2,GB,active,"Packers inactives: Carpenter, Bakhtiari, C. Jones, Rhyan, Toure, Ford",https://www.packers.com/news/packers-bears-inactives-week-2-2022
Kenny Pickett,00-0038102,2022,2,PIT,active,"Steelers inactives: Rudolph, K. Green, Loudermilk, M. Robinson, Sims, Anenih",https://www.steelers.com/news/steelers-inactives-for-week-2-vs-patriots
Desmond Ridder,00-0038122,2022,3,ATL,active,"Falcons inactives: Byrd, Kwiatkoski, Bell, Wilkinson, B. Edwards, Dickerson",https://www.atlantafalcons.com/news/falcons-inactives-former-starting-receiver-inactive-ahead-of-week-3-matchup-with
Jordan Love,00-0036264,2022,3,GB,active,"Packers inactives: Watson, Walker, C. Jones, Rhyan, Toure, Ford",https://www.packers.com/news/packers-buccaneers-inactives-week-3-2022
Kenny Pickett,00-0038102,2022,3,PIT,active,"Steelers inactives: Rudolph, K. Green, Loudermilk, M. Robinson, Sims, Anenih",https://steelersdepot.com/2022/09/steelers-vs-browns-inactives-for-week-3/
Malik Willis,00-0038128,2022,3,TEN,active,"Titans inactives: Amadi, Dupree, Adeniyi, Philips, A. Adams, Chestnut",https://www.tennesseetitans.com/news/game-inactives-week-3-titans-vs-raiders
Desmond Ridder,00-0038122,2022,4,ATL,active,"Falcons inactives: Kwiatkoski, Bell, Edoga, Bernhardt, B. Edwards, Dickerson",https://www.atlantafalcons.com/news/falcons-inactives-final-status-of-cordarrelle-patterson-announced-ahead-of-week-
Jordan Love,00-0036264,2022,4,GB,active,"Packers inactives: Alexander, Walker, Rhyan, Toure, Ford",https://www.acmepackingcompany.com/2022/10/2/23383859/green-bay-packers-week-4-inactives-new-england-patriots-injury-report-jaire-alexander-mac-jones-2022
Malik Willis,00-0038128,2022,4,TEN,active,"Titans inactives: T. Jackson, Amadi, Hooker, Cunningham, Ray, Clark, Adeniyi",https://www.tennesseetitans.com/news/game-inactives-week-4-titans-at-colts
Desmond Ridder,00-0038122,2022,5,ATL,active,"Falcons inactives: Pitts, Malone, Kwiatkoski, Edoga, Bernhardt",https://www.ajc.com/sports/atlanta-falcons/inactives-falcons-at-buccaneers/XHE3FBGEVFATFMLUJSUBY6S3B4/
Jordan Love,00-0036264,2022,5,GB,active,"Packers inactives (London): Wyatt, Walker, Rhyan, Toure, Ford",https://sports.yahoo.com/packers-inactives-week-5-vs-120809993.html
Malik Willis,00-0038128,2022,5,TEN,active,"Titans inactives: Amadi, Hooker, Cunningham, J. Jones, Dupree, N. Davis, Adeniyi",https://www.tennesseetitans.com/news/game-inactives-week-5-titans-at-commanders
Desmond Ridder,00-0038122,2022,6,ATL,active,"Falcons inactives: M. Walker, E. Harris, Ogundeji, Firkser, Bernhardt, Edoga",https://www.aol.com/news/falcons-week-6-inactives-kyle-153957437.html
Nyheim Miller-Hines,00-0034367,2022,6,BUF,inactive,Then with IND; Nyheim Hines inactive for Colts Week 6 (concussion),https://www.cbssports.com/nfl/news/nfl-week-6-inactives-49ers-nick-bosa-out-saints-down-top-three-receivers-mac-jones-out-for-patriots/
Jameis Winston,00-0031503,2022,6,NO,active,Active as emergency QB behind Dalton,https://dknetwork.draftkings.com/nfl-injuries-fantasy/2022/10/16/23402544/bengals-vs-saints-inactives-week-6-tee-higgins-injury-jarvis-landry-jameis-winston-who-is-out
Desmond Ridder,00-0038122,2022,7,ATL,active,"Falcons inactives: Alford, Bell, Edoga, Firkser, Dickerson",https://www.atlantafalcons.com/news/falcons-injury-report-atlanta-release-inactives-ahead-of-week-7-matchup-with-ben
Jordan Love,00-0036264,2022,7,GB,active,"Packers inactives: Watson, Garvin, Bakhtiari, Tenuta, Ford",https://www.packers.com/news/packers-commanders-inactives-week-7-2022
Jameis Winston,00-0031503,2022,7,NO,active,"Saints inactives: Adebo, Lattimore, Landry, Peat, Thomas, Trautman, P. Turner",https://www.neworleanssaints.com/news/new-orleans-saints-inactives-vs-the-arizona-cardinals-nfl-week-7
Desmond Ridder,00-0038122,2022,8,ATL,active,"Falcons inactives: Terrell, Hawkins, Firkser, Landman, Bell, Edoga, Dickerson (moderate: page date garbled)",https://www.nfl.com/news/inactive-reports-for-sunday-s-week-8-games-in-2022-nfl-season
Jordan Love,00-0036264,2022,8,GB,active,"Packers inactives: Lazard, Jean-Charles, Garvin, Jenkins, Tenuta, Ford",https://www.si.com/nfl/bills/news/green-bay-packers-vs-buffalo-bills-inactives-spencer-brown-injury-allen-lazard
Jameis Winston,00-0031503,2022,8,NO,active,"Healthy backup to Dalton; Saints inactives: Landry, Thomas, Lattimore, W. Davis, Trautman, Granderson",https://www.neworleanssaints.com/news/new-orleans-saints-inactives-las-vegas-raiders-2022-nfl-week-8
Tyrion Davis-Price,00-0037827,2022,8,SF,active,"49ers inactives: Samuel, Jennings, Juszczyk, Armstead, Greenlaw, Verrett, Turay",https://www.49ers.com/news/jauan-jennings-jason-verrett-deebo-samuel-out-vs-rams-49ers-week-8-inactives
Desmond Ridder,00-0038122,2022,9,ATL,active,"Falcons inactives: E. Harris, Terrell, Landman, Edoga, Firkser, B. Edwards, Dickerson",https://www.atlantafalcons.com/news/falcons-inactives-atlanta-announces-list-prior-to-hosting-los-angeles-chargers-i
Jordan Love,00-0036264,2022,9,GB,active,"Packers inactives: Jean-Charles, Campbell, Walker, Tenuta, Ford",https://www.packers.com/news/packers-lions-inactives-week-9-2022
Jameis Winston,00-0031503,2022,9,NO,active,"Saints inactives: Landry, Ingram, Lattimore, W. Davis, Vannett",https://www.neworleanssaints.com/news/new-orleans-saints-inactives-baltimore-ravens-2022-nfl-week-9
Desmond Ridder,00-0038122,2022,10,ATL,active,"Falcons inactives: Franks, Firkser, Harrison, Dickerson, Landman, Terrell, E. Harris",https://www.nfl.com/news/week-10-thursday-inactives-atlanta-falcons-at-carolina-panthers
Jordan Love,00-0036264,2022,10,GB,active,"Packers inactives: Jean-Charles, Barnes, Campbell, Walker, Tenuta, Doubs, Ford",https://www.packers.com/news/packers-cowboys-inactives-week-10-2022
Sam Ehlinger,00-0036879,2022,10,IND,active,"Back to QB2 behind Ryan; Colts inactives: Denbow, Foles (QB3), French, D. Jackson, Strachan, C. Williams, J. Woods",https://www.si.com/nfl/colts/gameday/colts-raiders-inactives-week-10
Jameis Winston,00-0031503,2022,10,NO,active,"Saints inactives: Werner, Ingram, Lattimore, Peat, Maye, Callaway, Holtz, Davenport",https://www.neworleanssaints.com/news/new-orleans-saints-inactives-vs-pittsburgh-steelers-2022-nfl-week-10
Desmond Ridder,00-0038122,2022,11,ATL,active,"Falcons inactives: Franks, Firkser, Landman, B. Edwards, Dickerson",https://www.si.com/nfl/falcons/onsi/news/atlanta-falcons-chicago-bears-inactives-aj-terrell-erik-harris-feleipe-franks
Jordan Love,00-0036264,2022,11,GB,active,"Packers inactives: Jean-Charles, Campbell, Doubs, Ford, Tenuta, Walker",https://www.packers.com/news/packers-titans-inactives-tnf-week-11-2022
Jameis Winston,00-0031503,2022,11,NO,active,"Saints inactives: Werner, Ingram, Lattimore, J.T. Gray, Hurst, Davenport, C. Jordan",https://www.si.com/nfl/saints/gameday/saints-week-11-inactive-report-rams
Malik Willis,00-0038128,2022,11,TEN,active,"Titans inactives: Bullock, Dupree, Hooker, B. Jones, N. Jones, Molden, Rader",https://www.tennesseetitans.com/news/game-inactives-week-11-titans-at-packers
Desmond Ridder,00-0038122,2022,12,ATL,active,"Falcons inactives: Moffatt, Armstrong, Landman, Edoga, Darby, Dalton",https://www.atlantafalcons.com/news/falcons-inactives-arnold-ebiketie-feleipe-franks-caleb-huntley-status-revealed-a
Malik Willis,00-0038128,2022,12,TEN,active,"Titans inactives: Autry, Bullock, B. Jones, N. Jones, T. Mitchell, Murchison, Schobert",https://www.si.com/nfl/titans/gameday/tennessee-titans-cincinnati-bengals-nfl-week-12-inactives
Desmond Ridder,00-0038122,2022,13,ATL,active,"Falcons inactives: Edoga, Moffatt, Fenton, Ebiketie, Landman, Darby, Dalton",https://steelersdepot.com/2022/12/steelers-vs-falcons-inactives-for-week-13/
Jordan Love,00-0036264,2022,13,GB,active,"Packers inactives: Jean-Charles, Savage, Barnes, Bakhtiari, Doubs, Ford",https://www.packers.com/news/packers-bears-inactives-week-13-2022
Isaiah Spiller,00-0038045,2022,13,LAC,active,"Chargers inactives: Stick, J. Moore, Michel, Linsley, Pipkins, M. Williams",https://www.boltsfromtheblue.com/2022/12/4/23492413/chargers-raiders-week-13-inactives-mike-williams-corey-linsley
Tyrion Davis-Price,00-0037827,2022,13,SF,active,"49ers inactives: Dwelley, McGill, C. Robinson, Burford",https://www.nbcsports.com/bayarea/49ers/49ers-dolphins-inactives-deebo-samuel-trent-williams-playing-week-13-game
Malik Willis,00-0038128,2022,14,TEN,active,"Titans inactives: Adeniyi, Autry, Avery, Board, Burks, Fulton, Haskins",https://www.si.com/nfl/titans/gameday/tennessee-titans-jacksonville-jaguars-nfl-2022-week-14-inactives
Jordan Love,00-0036264,2022,15,GB,active,"Packers inactives: Jean-Charles, Barnes, Bakhtiari, C. Jones, Ford",https://www.packers.com/news/packers-rams-inactives-week-15-mnf-2022
Isaiah Spiller,00-0038045,2022,15,LAC,active,"Chargers inactives: Stick, D. James, Michel, JT Woods, Norton, Bandy, Hinton",https://www.boltsfromtheblue.com/2022/12/18/23515387/chargers-vs-titans-week-15-inactives-derwin-james-nfl-afc
Jeff Wilson,00-0034115,2022,15,MIA,inactive,Inactive at Buffalo with hip injury,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/jeff-wilson-inactive-for-dolphins-leaving-raheem-mostert-to-carry-the-load
Tyrion Davis-Price,00-0037827,2022,15,SF,active,"49ers inactives: Garoppolo, Samuel, Zakelj, Givens, C. Robinson, Womack, T. Moore",https://www.nfl.com/news/week-15-thursday-inactives-san-francisco-49ers-at-seattle-seahawks
Jordan Love,00-0036264,2022,16,GB,active,"Packers inactives: Jean-Charles, Garvin, Bakhtiari, C. Jones, Ford",https://www.packers.com/news/packers-dolphins-inactives-week-16-2022
Malik Willis,00-0038128,2022,17,TEN,active,"Titans inactives: Henry, Fulton, Thompson, Hooker, Cole, Petit-Frere, Autry, Simmons; Dobbs started",https://www.nfl.com/news/week-17-thursday-inactives-dallas-cowboys-at-tennessee-titans
Taylor Heinicke,00-0031800,2022,17,WAS,active,"Backup to Wentz; Commanders inactives: Howell (QB3), Gibson, St-Juste, Curl, C. Paul, Charles, Smith-Williams",https://sports.yahoo.com/commanders-week-17-inactives-vs-173357929.html
Elijah Mitchell,00-0036567,2023,2,SF,active,"49ers inactives: B. Allen (3rd QB), Zakelj, J. Graham, Davis-Price, K. Davis",https://dknetwork.draftkings.com/nfl-injuries-fantasy/2023/9/17/23868643/49ers-vs-rams-inactives-week-2-injury-report-puka-nacua-coleman-shelton-who-is-out
Rashaad Penny,00-0034750,2023,3,PHI,active,"Dressed with Boston Scott out; Eagles out: Watkins, Scott, Okwuegbunam, Steen, Ojomo, Goodrich",https://www.phillyvoice.com/eagles-buccaneers-week-3-inactives-analysis/
Juwan Johnson,00-0036040,2023,4,NO,active,"Saints inactives: Adebo, Howden, Luton, Moreau, Perry, K. Phillips, Ruiz",https://www.neworleanssaints.com/news/derek-carr-quarterback-nfl-week-4-saints-inactives-tampa-bay-buccaneers
Taylor Heinicke,00-0031800,2023,5,ATL,active,QB2 behind Ridder; Logan Woodside was the emergency third QB,https://www.atlantafalcons.com/news/falcons-release-inactives-list-ahead-of-hosting-the-houston-texans-at-home-in-we
Terrace Marshall,00-0036955,2023,5,CAR,active,"Not among Panthers inactives: Blackshear, X. Woods, D. Jackson, D. Jones, Sharpe (moderate: list may be partial)",https://dknetwork.draftkings.com/nfl-injuries-fantasy/2023/10/8/23907722/panthers-vs-lions-inactives-week-5-injury-report-amon-ra-st-brown-jahmyr-gibbs-who-is-out
Desmond Ridder,00-0038122,2023,9,ATL,active,"Benched, backup to Heinicke; Falcons inactives: London, Woodside (emergency 3rd QB), Hellams, K. Smith, Gwyn, Bell, Gaziano",https://www.atlantafalcons.com/news/falcons-inactives-week-9-matchup-minnesota-vikings-drake-london
Jimmy Garoppolo,00-0031345,2023,9,LV,active,"Benched to QB2; Raiders inactives: Deablo, Hoyer, J. Johnson, Masterson, Munford, B. Young, Rochell",https://www.raiders.com/news/las-vegas-raiders-week-9-inactives-vs-new-york-giants-110523
Jimmy Garoppolo,00-0031345,2023,10,LV,active,"Raiders inactives: Hoyer, J. Smith, J. Johnson, K. Miller, B. Young, Rochell, Silvera",https://www.raiders.com/news/las-vegas-raiders-week-10-inactives-new-york-jets-111223-sunday-night-football
Jimmy Garoppolo,00-0031345,2023,11,LV,active,"Raiders inactives: Hoyer, J. Smith, Burney, Grasu, K. Miller, B. Young, Silvera",https://www.raiders.com/news/las-vegas-raiders-nfl-week-11-inactives-vs-miami-dolphins-111923
Ryan Tannehill,00-0029701,2023,11,TEN,active,"Titans inactives: Dillard, Burks, Murphy-Bunting, Willis, C. Murphy, Gipson, Throckmorton",https://www.tennesseetitans.com/news/game-inactives-week-11-titans-at-jaguars
James Robinson,00-0035831,2023,12,GB,active,"Packers inactives: Wicks, Ford, Alexander, A. Jones, Campbell, C. Jones, Deguara",https://www.packers.com/news/inactives-packers-lions-week-12-2023
Israel Abanikanda,00-0038389,2023,13,NYJ,active,"Jets inactives: Zach Wilson (emergency QB), Cobb, B. Hall, Z. Barnes, B. Turner, C. Lawson, Deculus",https://www.newyorkjets.com/news/jets-vs-falcons-2023-week-13-inactives
Geno Smith,00-0030565,2023,15,SEA,active,Active but did not start (groin); Lock started,https://www.seahawks.com/news/geno-smith-active-devon-witherspoon-jamal-adams-inactive-for-seahawks-week-15-ga
Desmond Ridder,00-0038122,2023,16,ATL,active,"Backup to Heinicke; inactives: Woodside (emergency 3rd QB), O'Donnell, Gwyn, Togiai, McGary, FitzPatrick, Gaziano",https://www.atlantafalcons.com/news/falcons-release-inactives-list-week-16-vs-indianapolis-colts
Drew Lock,00-0035704,2023,16,SEA,active,"Seahawks inactives: Eskridge, Witherspoon, J. Adams, F. Clark, M. Curtis, R. O'Neal, M. Adams",https://12thmanrising.com/posts/seattle-seahawks-inactives-week-16-tennessee-titans
Russell Wilson,00-0029263,2023,17,DEN,active,Benched; dressed as No. 2 QB behind Stidham,https://www.cbssports.com/nfl/news/russell-wilson-benched-for-rest-of-season-to-back-up-jarrett-stidham-in-week-17-veteran-qb-set-to-be-cut/
Michael Penix,00-0039917,2024,1,ATL,active,"Backup to Cousins; Falcons inactives: McClellan, Hamilton, Dorlus, Gwyn, C. Washington, Orhorhoro",https://www.atlantafalcons.com/news/falcons-release-their-inactives-list-for-week-1-home-opener-vs-steelers
Jake Browning,00-0035100,2024,1,CIN,active,"Bengals inactives: Higgins, Pryor, C. Johnson, Mims, McLachlan, K. Jenkins",https://www.patriots.com/news/week-1-inactives-patriots-at-bengals
Joe Flacco,00-0026158,2024,1,IND,active,"Colts inactives: Avery, Ehlinger (emergency QB3), Gould, Land, D. Long, Pinter",https://www.colts.com/news/inactives/
Drake Maye,00-0039851,2024,1,NE,active,"Patriots inactives: Baker, D. Jacobs, C. Jacobs, E. Johnson, Milton (emergency 3rd QB), Sow, Z. Thomas",https://www.cbsnews.com/boston/news/javon-baker-patriots-inactives-week-1-bengals-nfl/
Kenny Pickett,00-0038102,2024,1,PHI,active,"Backup to Hurts; Eagles inactives: McKee (3rd QB), I. Rodgers, D. White, Hunt, Kinnard, Keegan, B. Young",https://www.philadelphiaeagles.com/news/packers-vs-eagles-inactives-week-1-2024
Sam Howell,00-0037077,2024,1,SEA,active,"Backup to Geno Smith; Seahawks inactives: Nwosu, P. Brown, Laumea, Sundell, Jerrell, M. Adams, Burns",https://www.fieldgulls.com/2024/9/8/24238808/nfl-week-1-2024-seahawks-vs-broncos-gameday-inactives-announced
Michael Penix,00-0039917,2024,2,ATL,active,"Falcons inactives: McClellan, Hamilton, Dorlus, Gwyn, Parker, Orhorhoro",https://www.philadelphiaeagles.com/news/falcons-vs-eagles-inactives-week-2-2024
Jake Browning,00-0035100,2024,2,CIN,active,"Bengals inactives: Higgins, C. Johnson, Mims, McLachlan, K. Jenkins",https://www.profootballnetwork.com/cincinnati-bengals-vs-kansas-city-chiefs-inactives-week-2-2024/
Joe Flacco,00-0026158,2024,2,IND,active,"Backup to Richardson; Colts inactives: Blackmon, Downs, Ehlinger (emergency 3rd QB), Bortolini, Freeland, Mallory, Avery",https://www.colts.com/news/josh-downs-deforest-buckner-kwity-paye-week-2-packers-game-status-injury-update
Drake Maye,00-0039851,2024,2,NE,active,"Patriots inactives: Boutte, Milton, C. Jacobs, Sow, D. Jacobs",https://www.patriots.com/news/week-2-inactives-seahawks-at-patriots
Kenny Pickett,00-0038102,2024,2,PHI,active,"Backup to Hurts; Eagles inactives: A.J. Brown, D. White, McKee (3rd QB), Kinnard, Keegan, B. Young, Ricks",https://www.bleedinggreennation.com/2024/9/16/24246682/eagles-falcons-inactives-devin-white-healthy-scratch-johnny-wilson-will-play
