Team,Year,Result,Win %,Record,Record & win % vs each team,Record & win % vs playoff teams,Record & win % vs non-playoff teams,Record & win % vs champion,Record & win % vs last place,Change in win % from previous season,Win Variance,Week of playoff elimination,Draft Value,Number of first round picks made,Total number of picks made,Points,Avg points,Points against,Avg points against,Differential,Avg differential,Max PF,Avg max PF,Efficiency,Weeks of injuries,Weeks suspensions,Hardship,Offseason starter turnover,Inseason starter turnover,Offseason roster turnover,Inseason roster turnover,Tanking,Luck,Times Brosenzweig,Times Sisenzweig,Times Highest score?,Times Lowest score?,Times Narrowest victory?,Times Largest blowout?,Times Most efficient?,Times Least efficient?,Number of QB started,Number of WR started,Number of RB started,Number of TE started,Number of QB rostered,Number of WR rostered,Number of RB rostered,Number of TE rostered,Number of transactions,Number of trades,Amount of FAAB spent,Most number of players started from same NFL team,Most number of players rostered from same NFL team,Most number of QBs started from same NFL team,Most number of QBs rostered from same NFL team,Most number of RBs started from same NFL team,Most number of RBs rostered from same NFL team,Most number of WR started from same NFL team,Most number of WR rostered from same NFL team,Most number of TE started from same NFL team,Most number of TE rostered from same NFL team,Number of NFL teams among starting players,Number of NFL teams amoung rostered players,Number of rookies started,Number of rookies rostered,Player average age,Times Top half of league?,Difference between highest and lowest starters,Combined matchup score,Number of donuts,Number of players under 10,Number of players over 20,Number of players over 30,Number of players over 40,Number of players over 50,Number of cuffs rostered,Number of cuffs started,Future draft capital,Startup draft players remaining,record vs AceMatthew,win % vs AceMatthew,record vs BROsenzweig,win % vs BROsenzweig,record vs JacobRosenzweig,win % vs JacobRosenzweig,record vs LWebs53,win % vs LWebs53,record vs Oliverwkw,win % vs Oliverwkw,record vs Shmuel256,win % vs Shmuel256,record vs plehv79,win % vs plehv79,record vs shmuel256,win % vs shmuel256,record vs stevenb123,win % vs stevenb123
LWebs53,2022,,0.8235,14-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-0,1.0,1-1,0.5,3-0,1.0,0-0,,2-1,0.6667,2-0,1.0,2-0,1.0,0-0,,2-1,0.6667
LWebs53,2023,,0.6471,11-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1,0.5,2-0,1.0,1-1,0.5,0-0,,2-0,1.0,1-2,0.3333,3-0,1.0,0-0,,1-2,0.3333
LWebs53,2024,,0.4118,7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1,0.5,1-1,0.5,1-2,0.3333,0-0,,1-2,0.3333,0-3,0.0,1-1,0.5,0-0,,2-0,1.0
LWebs53,2025,,0.25,4-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-2,0.0,0-2,0.0,1-2,0.3333,0-0,,1-1,0.5,0-3,0.0,2-0,1.0,0-0,,0-2,0.0
Oliverwkw,2021,,0.5882,10-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1,0.5,2-1,0.6667,1-1,0.5,1-1,0.5,0-0,,0-0,,2-1,0.6667,2-0,1.0,1-2,0.3333
Oliverwkw,2022,,0.5882,10-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-0,1.0,1-3,0.25,2-0,1.0,1-2,0.3333,0-0,,1-1,0.5,2-0,1.0,0-0,,1-1,0.5
Oliverwkw,2023,,0.7059,12-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-0,1.0,2-0,1.0,3-0,1.0,0-2,0.0,0-0,,2-1,0.6667,1-2,0.3333,0-0,,2-0,1.0
Oliverwkw,2024,,0.2941,5-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2,0.3333,0-2,0.0,1-2,0.3333,2-1,0.6667,0-0,,0-2,0.0,1-1,0.5,0-0,,0-2,0.0
Oliverwkw,2025,,0.25,4-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-2,0.0,0-2,0.0,1-2,0.3333,1-1,0.5,0-0,,0-2,0.0,2-1,0.6667,0-0,,0-2,0.0
Shmuel256,2022,,0.4118,7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2,0.3333,1-1,0.5,2-0,1.0,0-2,0.0,1-1,0.5,0-0,,2-2,0.5,0-0,,0-2,0.0
Shmuel256,2023,,0.6471,11-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-1,0.6667,2-0,1.0,2-0,1.0,2-1,0.6667,1-2,0.3333,0-0,,1-1,0.5,0-0,,1-1,0.5
Shmuel256,2024,,0.7059,12-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-0,1.0,3-0,1.0,2-0,1.0,3-0,1.0,2-0,1.0,0-0,,0-2,0.0,0-0,,0-3,0.0
Shmuel256,2025,,0.8125,13-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1,0.5,2-0,1.0,2-0,1.0,3-0,1.0,2-0,1.0,0-0,,0-2,0.0,0-0,,3-0,1.0
plehv79,2021,,0.4706,8-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1,0.5,1-1,0.5,1-1,0.5,2-2,0.5,1-2,0.3333,0-0,,0-0,,2-0,1.0,0-2,0.0
plehv79,2022,,0.2353,4-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-2,0.0,0-2,0.0,2-1,0.6667,0-2,0.0,0-2,0.0,2-2,0.5,0-0,,0-0,,0-2,0.0
plehv79,2023,,0.5882,10-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-0,1.0,1-2,0.3333,2-0,1.0,0-3,0.0,2-1,0.6667,1-1,0.5,0-0,,0-0,,2-0,1.0
plehv79,2024,,0.4706,8-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1,0.5,1-3,0.25,2-0,1.0,1-1,0.5,1-1,0.5,2-0,1.0,0-0,,0-0,,0-3,0.0
plehv79,2025,,0.375,6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-2,0.0,0-3,0.0,2-0,1.0,0-2,0.0,1-2,0.3333,2-0,1.0,0-0,,0-0,,1-1,0.5
shmuel256,2021,,0.4118,7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-2,0.5,1-1,0.5,2-1,0.6667,1-1,0.5,0-2,0.0,0-0,,0-2,0.0,0-0,,1-1,0.5
stevenb123,2021,,0.7059,12-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-0,1.0,2-0,1.0,2-1,0.6667,1-2,0.3333,2-1,0.6667,0-0,,2-0,1.0,1-1,0.5,0-0,
stevenb123,2022,,0.7647,13-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-0,1.0,2-1,0.6667,2-0,1.0,1-2,0.3333,1-1,0.5,2-0,1.0,2-0,1.0,0-0,,0-0,
stevenb123,2023,,0.2941,5-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2,0.3333,1-2,0.3333,0-2,0.0,2-1,0.6667,0-2,0.0,1-1,0.5,0-2,0.0,0-0,,0-0,
stevenb123,2024,,0.8235,14-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-0,1.0,1-1,0.5,2-0,1.0,0-2,0.0,2-0,1.0,3-0,1.0,3-0,1.0,0-0,,0-0,
stevenb123,2025,,0.5,8-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-3,0.0,1-1,0.5,2-0,1.0,2-0,1.0,2-0,1.0,0-3,0.0,1-1,0.5,0-0,,0-0,
