sheet,stat,scope,scale,phrase_when_rises,phrase_when_falls
player_all_time,Adjusted PPG starter,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest Adjusted PPG starter all-time (<value>).,<player> passes <other> for <N>th-lowest Adjusted PPG starter all-time (<value>).
player_all_time,Adjusted PPG starter adjusted by position,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest Adjusted PPG starter adjusted by position all-time (<value>).,<player> passes <other> for <N>th-lowest Adjusted PPG starter adjusted by position all-time (<value>).
player_all_time,PPG starter per rostered week,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest PPG starter per rostered week all-time (<value>).,<player> passes <other> for <N>th-lowest PPG starter per rostered week all-time (<value>).
player_all_time,PPG starter per rostered week adjusted by position,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest PPG starter per rostered week adjusted by position all-time (<value>).,<player> passes <other> for <N>th-lowest PPG starter per rostered week adjusted by position all-time (<value>).
player_all_time,Adjusted PPG starter per rostered week,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest Adjusted PPG starter per rostered week all-time (<value>).,<player> passes <other> for <N>th-lowest Adjusted PPG starter per rostered week all-time (<value>).
player_all_time,Adjusted PPG starter per rostered week adjusted by position,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest Adjusted PPG starter per rostered week adjusted by position all-time (<value>).,<player> passes <other> for <N>th-lowest Adjusted PPG starter per rostered week adjusted by position all-time (<value>).
player_all_time,PPG bench,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest PPG bench all-time (<value>).,<player> passes <other> for <N>th-lowest PPG bench all-time (<value>).
player_all_time,PPG bench adjusted by position,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest PPG bench adjusted by position all-time (<value>).,<player> passes <other> for <N>th-lowest PPG bench adjusted by position all-time (<value>).
player_all_time,Adjusted PPG bench,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest Adjusted PPG bench all-time (<value>).,<player> passes <other> for <N>th-lowest Adjusted PPG bench all-time (<value>).
player_all_time,Adjusted PPG bench adjusted by position,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest Adjusted PPG bench adjusted by position all-time (<value>).,<player> passes <other> for <N>th-lowest Adjusted PPG bench adjusted by position all-time (<value>).
player_all_time,PPG starter vs bench diff,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest PPG starter vs bench diff all-time (<value>).,<player> passes <other> for <N>th-lowest PPG starter vs bench diff all-time (<value>).
player_all_time,PPG starter vs bench diff adjusted by position,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest PPG starter vs bench diff adjusted by position all-time (<value>).,<player> passes <other> for <N>th-lowest PPG starter vs bench diff adjusted by position all-time (<value>).
player_all_time,Regular-season PPG starter,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest Regular-season PPG starter all-time (<value>).,<player> passes <other> for <N>th-lowest Regular-season PPG starter all-time (<value>).
player_all_time,Regular-season PPG starter adjusted by position,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest Regular-season PPG starter adjusted by position all-time (<value>).,<player> passes <other> for <N>th-lowest Regular-season PPG starter adjusted by position all-time (<value>).
player_all_time,Playoff PPG starter,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest Playoff PPG starter all-time (<value>).,<player> passes <other> for <N>th-lowest Playoff PPG starter all-time (<value>).
player_all_time,Playoff PPG starter adjusted by position,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest Playoff PPG starter adjusted by position all-time (<value>).,<player> passes <other> for <N>th-lowest Playoff PPG starter adjusted by position all-time (<value>).
player_all_time,Playoff minus regular-season PPG starter,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest Playoff minus regular-season PPG starter all-time (<value>).,<player> passes <other> for <N>th-lowest Playoff minus regular-season PPG starter all-time (<value>).
player_all_time,Playoff minus regular-season PPG starter adjusted by position,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest Playoff minus regular-season PPG starter adjusted by position all-time (<value>).,<player> passes <other> for <N>th-lowest Playoff minus regular-season PPG starter adjusted by position all-time (<value>).
player_all_time,Regular-season games started,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest Regular-season games started all-time (<value>).,<player> passes <other> for <N>th-lowest Regular-season games started all-time (<value>).
player_all_time,Playoff games started,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest Playoff games started all-time (<value>).,<player> passes <other> for <N>th-lowest Playoff games started all-time (<value>).
player_all_time,Regular-season points as starter,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest Regular-season points as starter all-time (<value>).,<player> passes <other> for <N>th-lowest Regular-season points as starter all-time (<value>).
player_all_time,Playoff points as starter,all-time change (top/bottom 5),n/a,<player> passes <other> for <N>th-highest Playoff points as starter all-time (<value>).,<player> passes <other> for <N>th-lowest Playoff points as starter all-time (<value>).
team_all_time,All time win %,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest All time win % all-time (<value>).,<team> passes <other> for <N>th-lowest All time win % all-time (<value>).
team_all_time,Regular season win %,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Regular season win % all-time (<value>).,<team> passes <other> for <N>th-lowest Regular season win % all-time (<value>).
team_all_time,Playoff win %,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Playoff win % all-time (<value>).,<team> passes <other> for <N>th-lowest Playoff win % all-time (<value>).
team_all_time,Toilet bowl win %,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Toilet bowl win % all-time (<value>).,<team> passes <other> for <N>th-lowest Toilet bowl win % all-time (<value>).
team_all_time,Championships,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Championships all-time (<value>).,<team> passes <other> for <N>th-lowest Championships all-time (<value>).
team_all_time,Number of playoff appearances,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Number of playoff appearances all-time (<value>).,<team> passes <other> for <N>th-lowest Number of playoff appearances all-time (<value>).
team_all_time,Number of championship appearances,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Number of championship appearances all-time (<value>).,<team> passes <other> for <N>th-lowest Number of championship appearances all-time (<value>).
team_all_time,Number of last place finishes,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Number of last place finishes all-time (<value>).,<team> passes <other> for <N>th-lowest Number of last place finishes all-time (<value>).
team_all_time,Win Variance,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Win Variance all-time (<value>).,<team> passes <other> for <N>th-lowest Win Variance all-time (<value>).
team_all_time,Differential,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Differential all-time (<value>).,<team> passes <other> for <N>th-lowest Differential all-time (<value>).
team_all_time,Avg differential,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Avg differential all-time (<value>).,<team> passes <other> for <N>th-lowest Avg differential all-time (<value>).
team_all_time,All-play win %,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest All-play win % all-time (<value>).,<team> passes <other> for <N>th-lowest All-play win % all-time (<value>).
team_all_time,All-play win % minus Win %,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest All-play win % minus Win % all-time (<value>).,<team> passes <other> for <N>th-lowest All-play win % minus Win % all-time (<value>).
team_all_time,Playoff PF minus regular-season PF,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Playoff PF minus regular-season PF all-time (<value>).,<team> passes <other> for <N>th-lowest Playoff PF minus regular-season PF all-time (<value>).
team_all_time,Playoff win % minus regular-season win %,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Playoff win % minus regular-season win % all-time (<value>).,<team> passes <other> for <N>th-lowest Playoff win % minus regular-season win % all-time (<value>).
team_all_time,Regular-season points,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Regular-season points all-time (<value>).,<team> passes <other> for <N>th-lowest Regular-season points all-time (<value>).
team_all_time,Playoff points,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Playoff points all-time (<value>).,<team> passes <other> for <N>th-lowest Playoff points all-time (<value>).
team_all_time,Highest Win % vs a team,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Highest Win % vs a team all-time (<value>).,<team> passes <other> for <N>th-lowest Highest Win % vs a team all-time (<value>).
team_all_time,Lowest Win % vs a team,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Lowest Win % vs a team all-time (<value>).,<team> passes <other> for <N>th-lowest Lowest Win % vs a team all-time (<value>).
team_all_time,Win % vs playoff teams,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Win % vs playoff teams all-time (<value>).,<team> passes <other> for <N>th-lowest Win % vs playoff teams all-time (<value>).
team_all_time,Win % vs non-playoff teams,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Win % vs non-playoff teams all-time (<value>).,<team> passes <other> for <N>th-lowest Win % vs non-playoff teams all-time (<value>).
team_all_time,Win % vs champions,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Win % vs champions all-time (<value>).,<team> passes <other> for <N>th-lowest Win % vs champions all-time (<value>).
team_all_time,Win % vs last place,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Win % vs last place all-time (<value>).,<team> passes <other> for <N>th-lowest Win % vs last place all-time (<value>).
team_all_time,Win % vs AceMatthew,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Win % vs AceMatthew all-time (<value>).,<team> passes <other> for <N>th-lowest Win % vs AceMatthew all-time (<value>).
team_all_time,Win % vs BROsenzweig,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Win % vs BROsenzweig all-time (<value>).,<team> passes <other> for <N>th-lowest Win % vs BROsenzweig all-time (<value>).
team_all_time,Win % vs JacobRosenzweig,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Win % vs JacobRosenzweig all-time (<value>).,<team> passes <other> for <N>th-lowest Win % vs JacobRosenzweig all-time (<value>).
team_all_time,Win % vs LWebs53,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Win % vs LWebs53 all-time (<value>).,<team> passes <other> for <N>th-lowest Win % vs LWebs53 all-time (<value>).
team_all_time,Win % vs Oliverwkw,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Win % vs Oliverwkw all-time (<value>).,<team> passes <other> for <N>th-lowest Win % vs Oliverwkw all-time (<value>).
team_all_time,Win % vs plehv79,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Win % vs plehv79 all-time (<value>).,<team> passes <other> for <N>th-lowest Win % vs plehv79 all-time (<value>).
team_all_time,Win % vs shmuel256,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Win % vs shmuel256 all-time (<value>).,<team> passes <other> for <N>th-lowest Win % vs shmuel256 all-time (<value>).
team_all_time,Win % vs stevenb123,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Win % vs stevenb123 all-time (<value>).,<team> passes <other> for <N>th-lowest Win % vs stevenb123 all-time (<value>).
team_all_time,Points,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Points all-time (<value>).,<team> passes <other> for <N>th-lowest Points all-time (<value>).
team_all_time,Avg points,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Avg points all-time (<value>).,<team> passes <other> for <N>th-lowest Avg points all-time (<value>).
team_all_time,Points against,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Points against all-time (<value>).,<team> passes <other> for <N>th-lowest Points against all-time (<value>).
team_all_time,Avg points against,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Avg points against all-time (<value>).,<team> passes <other> for <N>th-lowest Avg points against all-time (<value>).
team_all_time,Max PF,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Max PF all-time (<value>).,<team> passes <other> for <N>th-lowest Max PF all-time (<value>).
team_all_time,Avg max PF,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Avg max PF all-time (<value>).,<team> passes <other> for <N>th-lowest Avg max PF all-time (<value>).
team_all_time,Efficiency,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Efficiency all-time (<value>).,<team> passes <other> for <N>th-lowest Efficiency all-time (<value>).
team_all_time,Points from QBs,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Points from QBs all-time (<value>).,<team> passes <other> for <N>th-lowest Points from QBs all-time (<value>).
team_all_time,Points from WRs,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Points from WRs all-time (<value>).,<team> passes <other> for <N>th-lowest Points from WRs all-time (<value>).
team_all_time,Points from TEs,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Points from TEs all-time (<value>).,<team> passes <other> for <N>th-lowest Points from TEs all-time (<value>).
team_all_time,Points from RBs,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest Points from RBs all-time (<value>).,<team> passes <other> for <N>th-lowest Points from RBs all-time (<value>).
team_all_time,% of points from QBs,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest % of points from QBs all-time (<value>).,<team> passes <other> for <N>th-lowest % of points from QBs all-time (<value>).
team_all_time,% of points from WRs,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest % of points from WRs all-time (<value>).,<team> passes <other> for <N>th-lowest % of points from WRs all-time (<value>).
team_all_time,% of points from TEs,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest % of points from TEs all-time (<value>).,<team> passes <other> for <N>th-lowest % of points from TEs all-time (<value>).
team_all_time,% of points from RBs,all-time change (any movement among the 8),n/a,<team> passes <other> for <N>th-highest % of points from RBs all-time (<value>).,<team> passes <other> for <N>th-lowest % of points from RBs all-time (<value>).
