Team,Year,Result,Win %,Regular season record,Regular season win %,All-play win %,All-play win % minus Win %,Record,Win Variance,Week of playoff elimination,Differential,Avg differential,Record vs playoff teams,Win % vs playoff teams,Record vs non-playoff teams,Win % vs non-playoff teams,Record vs champion,Win % vs champion,Record vs last place,Win % vs last place,Record vs AceMatthew,Win % vs AceMatthew,Record vs BROsenzweig,Win % vs BROsenzweig,Record vs JacobRosenzweig,Win % vs JacobRosenzweig,Record vs LWebs53,Win % vs LWebs53,Record vs Oliverwkw,Win % vs Oliverwkw,Record vs plehv79,Win % vs plehv79,Record vs shmuel256,Win % vs shmuel256,Record vs stevenb123,Win % vs stevenb123,Points,Avg points,Points against,Avg points against,Max PF,Avg max PF,Efficiency,Points from QBs,Points from WRs,Points from TEs,Points from RBs,% of points from QBs,% of points from WRs,% of points from TEs,% of points from RBs,Drafting skill,Trading skill,Add/Drop skill,Times Brosenzweig,Times Sisenzweig,Times Highest score?,Times Lowest score?,Times Narrowest victory?,Times Largest blowout?,Times Most efficient?,Times Least efficient?,Times Top half of league?,Times One-man army?,Times Most bench points?,Times Most injured?,Playoff appearance streak,Winning season streak,Average weekly starter turnover,Average weekly roster turnover,Number of QB started,Number of WR started,Number of RB started,Number of TE started,Number of QB rostered,Number of WR rostered,Number of RB rostered,Number of TE rostered,Most number of players started from same NFL team,Most number of players rostered from same NFL team,Most number of QBs started from same NFL team,Most number of QBs rostered from same NFL team,Most number of RBs started from same NFL team,Most number of RBs rostered from same NFL team,Most number of WR started from same NFL team,Most number of WR rostered from same NFL team,Most number of TE started from same NFL team,Most number of TE rostered from same NFL team,Number of NFL teams among starting players,Number of NFL teams among rostered players,Stacks,Number of rookies started,Number of rookies rostered,% of players drafted,% of 3rd year+ players drafted,Player average age,Team age including picks,Difference between highest and lowest starters,Number of donuts,Number of starter donuts,Number of players under 10,Number of starters under 10,Number of players over 20,Number of starters over 20,Number of players over 30,Number of starters over 30,Number of players over 40,Number of starters over 40,Number of players over 50,Number of starters over 50,% of starters boom,% of starters upper quartile,% of starters middle 50%,% of starters lower quartile,% of starters bust,Number of cuffs rostered,Number of cuffs started,Startup draft players remaining,Tanking,Losses from hardship,Losses from byes,Wins from byes,Losses from hardship (2-sided),Wins from hardship (2-sided),Weeks of injuries,Weeks suspensions,Weeks of starter injuries,Weeks of starter suspensions,Hardship,Starter-adjusted Hardship,Luck,Draft Value,3-year roster retention rate,Number of first round picks made,Total number of picks made,Offseason starter turnover,Inseason starter turnover,Offseason roster turnover,Inseason roster turnover,Number of Add/Drops,Number of waiver adds,Number of free agency adds,Number of pure drops,Offseason trades,Inseason trades,Total trades,Total transactions,Amount of FAAB spent,Future draft capital,Change in win % from previous season
BROsenzweig,2023,6th,0.3529,5-10,0.3333,0.4286,0.0757,6-11,0.5,13.0,11.26,0.66,2-7,0.2222,4-4,0.5,0-2,0.0,2-1,0.6667,0-2,0.0,,,2-1,0.6667,0-2,0.0,0-2,0.0,2-1,0.6667,0-2,0.0,2-1,0.6667,2170.54,127.68,2159.28,127.02,2721.96,160.12,0.7974,643.42,923.72,121.7,481.7,0.2964,0.4256,0.0561,0.2219,44.6,54.1,38.8,1,0,1,4,1,3,1,2,7,3,1,1,0,0,2.94,2.59,5,10,8,6,7,22,13,9,2,4,1,1,1,2,1,2,1,1,17,26,11,2,7,30.8,18.8,26.7124,24.935882352941178,51.0,28,2,205,60,53,35,9,8,2,2,2,2,7.9,13.2,52.6,13.2,13.2,6,3,3,0.2809,0,0,0,0,1,44,0,24,0,361.12,158.916,1.7377,0.4107,0.2308,0,3,4,6,23,20.0,50,9,21,20,4,6,10,60,54.0,2.08,-0.23529999999999995
BROsenzweig,2024,3rd,0.5882,9-6,0.6,0.6471,0.0589,10-7,-1.0,0.0,163.1,9.59,4-5,0.4444,6-2,0.75,1-1,0.5,2-0,1.0,1-1,0.5,,,2-0,1.0,1-1,0.5,2-0,1.0,3-1,0.75,0-3,0.0,1-1,0.5,2730.36,160.61,2567.26,151.02,3225.84,189.76,0.8464,687.46,1084.0,243.5,715.4,0.2518,0.397,0.0892,0.262,55.0,45.7,34.4,0,0,7,0,0,5,5,2,9,6,4,0,In Progress,In Progress,2.41,2.41,4,10,4,3,9,20,10,7,3,4,1,1,1,2,1,2,1,1,14,22,15,1,4,21.4,14.3,26.3382,24.811764705882354,52.5,38,1,224,54,68,47,16,14,6,6,2,2,13.5,12.4,51.2,13.5,9.4,7,1,3,0.1494,0,0,0,0,0,51,0,20,0,468.6707,205.1172,1.4908,0.3929,,1,2,5,6,23,13.0,54,19,9,26,15,6,21,75,43.0,1.73,0.23529999999999995
BROsenzweig,2025,4th,0.6471,11-4,0.7333,0.5546,-0.0925,11-6,-0.0,0.0,160.52,9.44,3-5,0.375,8-1,0.8889,0-2,0.0,2-0,1.0,2-1,0.6667,,,1-1,0.5,2-0,1.0,2-0,1.0,3-0,1.0,0-2,0.0,1-2,0.3333,2507.24,147.48,2346.72,138.04,3304.4,194.38,0.7588,650.54,1015.5,212.1,629.1,0.2595,0.405,0.0846,0.2509,48.5,50.0,43.0,0,0,2,1,1,5,0,5,10,1,6,4,2,In Progress,3.18,1.76,4,8,10,4,5,17,18,7,2,4,1,1,1,2,1,2,1,2,18,26,6,1,4,18.8,14.8,26.8171,25.614117647058823,38.42,18,0,210,56,66,38,14,11,1,1,0,0,8.8,12.9,51.2,15.3,11.8,4,0,3,0.0562,1,0,0,0,0,94,0,49,0,937.236,681.3664,-1.9189,0.3333,,0,3,6,8,21,19.0,31,14,2,15,8,6,14,45,60.0,1.82,0.05890000000000006
BROsenzweig,2026,,0.5,1-1,0.5,0.5714,0.0714,1-1,-1.5,0.0,-9.48,-4.74,,,,,,,,,0-1,0.0,,,0-0,0.0,0-0,0.0,1-0,1.0,0-0,0.0,0-0,0.0,0-0,0.0,301.8,150.9,311.28,155.64,426.46,213.23,0.7077,98.3,123.5,12.0,68.0,0.3257,0.4092,0.0398,0.2253,,49.6,38.6,0,0,0,0,1,0,0,2,1,0,2,0,,3,3.0,6.0,2,5,3,1,5,11,10,5,2,4,1,1,1,2,2,2,1,1,10,21,0,0,1,16.1,15.4,27.835,25.71,38.72,1,0,25,9,11,7,3,2,0,0,0,0,20.0,15.0,25.0,20.0,20.0,0,0,4,-0.0064,0,0,0,0,0,7,0,2,0,35.4733,14.592,0.0077,0.1429,,0,1,10,2,17,2.0,19,5,4,10,12,1,13,32,31.0,1.68,-0.1471
JacobRosenzweig,2020,7th,0.375,4-10,0.2857,0.3304,-0.0446,6-10,0.5,12.0,-174.06,-10.88,2-6,0.25,4-4,0.5,1-1,0.5,1-1,0.5,2-1,0.6667,1-2,0.3333,,,0-2,0.0,0-2,0.0,1-1,0.5,1-1,0.5,1-1,0.5,1994.56,124.66,2168.62,135.54,2416.92,151.06,0.8252,487.36,944.9,171.6,390.7,0.2443,0.4737,0.086,0.1959,43.7,,56.3,0,1,1,4,2,2,3,2,3,3,1,4,0,0,2.2,0.2,3,7,6,3,3,9,7,3,2,3,1,1,1,1,1,1,1,1,14,17,3,0,0,85.0,85.0,29.8231,26.17875,51.7,12,7,120,52,48,37,6,5,1,1,1,1,8.0,16.7,43.5,23.2,8.7,2,1,17,0.2533,1,0,1,1,1,48,0,27,0,577.08,244.308,0.8784,0.0,0.2105,0,0,,8,,5.0,3,0,3,0,0,0,0,3,,1.9,
JacobRosenzweig,2021,8th,0.3529,6-9,0.4,0.4286,0.0757,6-11,-0.0,14.0,-17.9,-1.05,3-6,0.3333,3-5,0.375,1-2,0.3333,1-2,0.3333,1-1,0.5,1-2,0.3333,,,0-2,0.0,1-1,0.5,1-1,0.5,1-2,0.3333,1-2,0.3333,2308.12,135.77,2326.02,136.82,2754.02,162.0,0.8381,520.56,803.1,298.0,686.46,0.2255,0.3479,0.1291,0.2974,52.7,52.5,45.9,0,0,2,2,1,2,1,2,7,0,2,5,0,0,1.94,0.76,4,7,6,2,4,9,7,3,2,2,1,1,1,2,1,2,1,1,17,19,0,3,4,78.3,77.8,26.4371,24.28411764705882,41.2,5,3,137,50,56,41,8,6,2,2,0,0,10.0,18.7,46.7,16.7,8.0,0,0,10,0.3525,3,0,0,1,1,75,0,50,0,891.804,401.024,-0.4482,1.5,0.2174,0,4,4,8,23,0.0,12,0,2,10,1,0,1,13,,1.9,-0.02210000000000001
JacobRosenzweig,2022,8th,0.1765,3-12,0.2,0.3025,0.126,3-14,-0.5,11.0,-353.9,-20.82,1-8,0.1111,2-6,0.25,0-3,0.0,1-2,0.3333,1-2,0.3333,1-1,0.5,,,0-3,0.0,0-2,0.0,1-2,0.3333,0-2,0.0,0-2,0.0,2017.64,118.68,2371.54,139.5,2616.36,153.9,0.7712,558.24,819.5,179.9,460.0,0.2767,0.4062,0.0892,0.228,52.7,45.5,52.4,0,0,0,4,0,0,1,3,4,1,1,9,0,0,2.12,0.76,3,9,4,3,5,13,7,4,2,3,1,1,1,2,1,3,1,1,17,20,13,2,5,66.7,46.7,25.8359,23.79294117647059,34.08,21,0,140,55,41,27,4,2,0,0,0,0,7.3,9.9,53.6,19.2,9.9,3,0,6,0.4419,3,0,0,1,0,86,0,45,0,1015.557,475.3952,-3.3095,1.8667,0.2083,1,5,6,7,13,6.0,15,1,7,7,1,2,3,18,2.0,1.78,-0.1764
JacobRosenzweig,2023,7th,0.2941,3-12,0.2,0.3109,0.0168,5-12,-0.0,11.0,-295.16,-17.36,1-8,0.1111,4-4,0.5,1-1,0.5,0-0,0.0,1-2,0.3333,1-2,0.3333,,,1-1,0.5,0-3,0.0,0-2,0.0,0-2,0.0,2-0,1.0,2020.02,118.82,2315.18,136.19,2683.58,157.86,0.7527,501.64,663.48,269.0,585.9,0.2483,0.3285,0.1332,0.29,46.2,54.7,41.3,0,0,0,4,1,1,0,5,6,5,2,2,0,0,2.29,0.88,5,7,4,2,5,17,7,3,1,2,1,1,1,1,1,2,1,1,17,24,0,2,7,48.1,33.3,25.2894,23.171764705882353,39.1,14,2,199,59,53,27,10,8,2,2,0,0,9.2,9.2,53.6,11.8,16.3,4,0,3,0.5267,0,1,0,0,1,54,0,37,0,664.994,308.0247,0.019,2.0333,0.24,1,5,9,10,11,8.0,9,0,4,5,3,5,8,17,0.0,2.51,0.11759999999999998
JacobRosenzweig,2024,8th,0.2353,3-12,0.2,0.2353,0.0,4-13,-0.0,10.0,-328.02,-19.3,0-8,0.0,4-5,0.4444,0-2,0.0,0-0,0.0,0-3,0.0,0-2,0.0,,,2-1,0.6667,2-1,0.6667,0-2,0.0,0-2,0.0,0-2,0.0,2219.74,130.57,2547.76,149.87,2705.44,159.14,0.8205,568.04,1016.6,151.7,483.4,0.2559,0.458,0.0683,0.2178,49.0,50.4,46.7,1,1,0,6,1,1,3,1,3,3,0,4,0,0,3.06,0.53,5,11,5,2,5,16,6,2,2,3,1,1,1,1,2,2,1,1,19,22,2,4,4,50.0,36.8,25.5241,23.478823529411763,38.5,35,2,202,68,36,28,5,5,2,2,0,0,5.3,11.2,51.8,18.8,12.9,5,1,2,0.565,1,0,0,0,1,83,0,43,0,809.888,384.6504,-0.1819,0.4524,,1,3,11,14,14,3.0,11,3,0,8,7,2,9,20,61.0,2.64,-0.05879999999999996
JacobRosenzweig,2025,6th,0.3529,5-10,0.3333,0.479,0.1261,6-11,-1.0,13.0,-137.28,-8.08,2-6,0.25,4-5,0.4444,0-2,0.0,2-2,0.5,1-1,0.5,1-1,0.5,,,2-1,0.6667,2-2,0.5,0-2,0.0,0-2,0.0,0-2,0.0,2512.0,147.76,2649.28,155.84,3083.74,181.4,0.8146,553.94,1065.7,190.8,701.56,0.2205,0.4242,0.076,0.2793,57.6,50.3,40.2,0,0,0,0,2,0,2,2,8,0,0,2,0,0,2.18,1.06,4,7,5,3,8,12,7,7,2,3,1,3,1,1,1,2,1,1,14,23,7,3,6,44.8,26.3,25.4412,23.766470588235297,33.1,33,2,192,55,63,42,11,9,0,0,0,0,10.0,11.2,51.2,22.4,5.3,6,0,0,0.3458,4,1,1,1,1,84,0,58,0,733.008,365.4064,-1.5816,0.9762,,2,5,10,8,20,7.0,13,3,1,9,6,6,12,25,3.0,2.0,0.11759999999999998
JacobRosenzweig,2026,,1.0,2-0,1.0,0.5,-0.5,2-0,2.0,0.0,105.6,52.8,,,,,,,,,0-0,0.0,0-0,0.0,,,1-0,1.0,0-0,0.0,1-0,1.0,0-0,0.0,0-0,0.0,299.92,149.96,194.32,97.16,394.06,197.03,0.7611,69.62,119.2,27.0,84.1,0.2321,0.3974,0.09,0.2804,,40.5,44.8,0,0,0,0,0,0,0,0,1,0,0,0,,1,2.5,4.0,2,5,3,1,8,10,7,5,2,3,1,3,1,2,1,2,1,2,9,20,2,1,5,50.0,31.6,25.2,23.49,41.7,6,0,32,8,9,6,3,2,1,1,0,0,15.0,20.0,30.0,20.0,15.0,1,0,0,0.3054,0,0,0,0,0,6,0,0,0,3.32,0.0,0.3232,0.6679,,2,4,8,2,15,0.0,4,0,0,4,3,1,4,8,0.0,2.19,0.6471
LWebs53,2020,3rd,0.625,9-5,0.6429,0.6429,0.0179,10-6,-1.0,0.0,136.96,8.56,3-5,0.375,7-1,0.875,0-3,0.0,2-0,1.0,1-1,0.5,2-0,1.0,2-0,1.0,,,2-0,1.0,1-2,0.3333,0-3,0.0,2-0,1.0,2428.08,151.75,2291.12,143.19,2936.98,183.56,0.8267,599.72,969.8,316.06,542.5,0.247,0.3994,0.1302,0.2234,54.9,53.6,35.9,2,1,4,0,5,1,1,1,10,1,5,1,In Progress,In Progress,3.27,2.4,7,8,16,2,9,11,25,5,3,5,1,2,1,2,1,2,1,1,21,25,23,0,3,57.1,62.5,27.5238,24.985625,38.9,7,0,92,36,69,49,13,12,4,4,0,0,16.7,16.7,47.2,11.8,7.6,8,3,12,-0.1203,0,0,0,0,2,40,0,37,0,708.472,262.104,-0.7558,0.0,0.1579,0,0,,12,,16.0,55,8,41,6,1,3,4,59,,0.55,
LWebs53,2021,2nd,0.6471,10-5,0.6667,0.6807,0.0336,11-6,-0.0,0.0,294.5,17.32,5-4,0.5556,6-2,0.75,2-1,0.6667,1-1,0.5,1-1,0.5,2-0,1.0,2-0,1.0,,,1-1,0.5,2-2,0.5,1-1,0.5,2-1,0.6667,2713.92,159.64,2419.42,142.32,3120.76,183.57,0.8696,674.42,1058.4,285.0,691.1,0.249,0.3907,0.1052,0.2551,46.6,46.2,26.4,0,0,5,1,2,4,3,1,13,0,4,1,In Progress,In Progress,2.71,3.47,5,5,9,4,8,21,27,8,3,6,1,2,1,3,1,2,1,1,14,29,41,0,4,44.0,45.5,28.4318,27.884117647058822,36.34,12,0,121,27,71,53,18,15,2,2,0,0,13.7,26.8,43.8,10.5,5.2,13,3,9,-0.2498,1,0,1,0,2,79,0,38,0,932.694,329.9584,-0.0122,0.6111,0.0,0,2,4,4,20,22.0,84,16,62,6,1,4,5,89,,0.51,0.02210000000000001
